t,S,I,R,Re
9.8,829.4922486397683,82.16827911999955,88.3394722402319,1.6589844972795371
9.9,826.0843511090628,83.521969672705,90.39367921823188,1.652168702218126
10.0,822.6345415030414,84.88373003690874,92.48172846004951,1.6452690830060832
10.1,819.1431270860425,86.25305120298505,94.60382171097223,1.6382862541720853
10.2,815.6104473818862,87.6294046270667,96.76014799104685,1.6312208947637727
10.3,812.0368744863016,89.01224240697455,98.95088310672352,1.6240737489726038
10.4,808.4228133305428,90.40099750255902,101.17618916689788,1.6168456266610862
10.5,804.7687018940975,91.79508400144036,103.43621410446185,1.6095374037881953
10.6,801.0750113644925,93.19389743100929,105.73109120449786,1.6021500227289855
10.7,797.3422462423101,94.59681511741641,108.0609386402731,1.5946844924846209
10.8,793.5709443896557,96.00319659213547,110.4258590182085,1.5871418887793118
10.9,789.7616770204534,97.41238404653441,112.82593893301188,1.5795233540409073
11.0,785.9150486310958,98.82370283472862,115.26124853417524,1.5718300972621921
11.1,782.0316968701328,100.23646202482344,117.73184110504346,1.564063393740266
11.2,778.1122923458562,101.64995499847942,120.23775265566404,1.5562245846917129
11.3,774.1575383708202,103.06346009855343,122.77900153062602,1.548315076741641
11.4,770.1681706425264,104.47624132438337,125.35558803308986,1.5403363412850535
11.5,766.1449568597061,105.88754907409415,127.96749406619945,1.5322899137194126
11.6,762.0886962738385,107.2966209331094,130.6146827930518,1.5241773925476776
11.7,758.0002191757635,108.70268250785674,133.29709831637953,1.5160004383515273
11.8,753.8803863174661,110.10494830345776,136.01466537907595,1.5077607726349325
11.9,749.7300882693423,111.50262264399508,138.7672890866624,1.499460176538685
12.0,745.5502447134851,112.89490063375248,141.5548546527623,1.4911004894269704
12.1,741.3418036737652,114.2809691576286,144.3772271686061,1.4826836073475305
12.2,737.1057406837201,115.660007918733,147.2342513975468,1.4742114813674403
12.3,732.843057893499,117.03119051098581,150.12575159551514,1.4656861157869983
12.4,728.5547831173496,118.39368552436054,153.0515313582898,1.4571095662346993
12.5,724.2419688233664,119.74665768023473,156.01137349639882,1.4484839376467329
12.6,719.9056910674489,121.08926899414641,159.00503993840468,1.4398113821348977
12.7,715.5470483736447,122.4206799630969,162.03227166325834,1.4310940967472894
12.8,711.1671605632703,123.74005077439391,165.09278866233578,1.4223343211265405
12.9,706.7671675354112,125.04654253289308,168.18628993169563,1.4135343350708225
13.0,702.3482280016077,126.33931850337422,171.31245349501796,1.4046964560032156
13.1,697.9115181777189,127.61754536467865,174.4709364576023,1.395823036355438
13.2,693.4582304361401,128.88039447214052,177.66137509171926,1.3869164608722804
13.3,688.989571921712,130.12704312476512,180.88338495352278,1.3779791438434241
