t,prey,predator
0.0,40.0,9.0
0.01,39.968,9.009
0.02,39.9359536576,9.0179801712
0.03,39.90386128361716,9.02694039450662
0.04,39.871723189437205,9.035880551054886
0.05,39.83953968700575,9.044800522212169
0.06,39.80731108881961,9.053700189582104
0.07,39.77503770791811,9.062579435008518
0.08,39.742719857874334,9.071438140579339
0.09,39.710357852786395,9.08027618863051
0.1,39.67795200726865,9.089093461749883
0.11,39.64550263644294,9.097889842781122
0.12,39.61301005592978,9.106665214827583
0.13,39.58047458183952,9.115419461256195
0.14,39.547896530763545,9.124152465701332
0.15,39.51527621976542,9.132864112068676
0.16,39.482613966371986,9.141554284539067
0.17,39.44991008856454,9.150222867572358
0.18,39.4171649047699,9.158869745911247
0.19,39.38437873385149,9.167494804585102
0.2,39.351551895100464,9.176097928913787
0.21,39.318684708226726,9.184679004511464
0.22,39.285777493350025,9.193237917290395
0.23,39.25283057099096,9.201774553464734
0.24,39.219844262062026,9.2102887995543
0.25,39.186818887858664,9.21878054238835
0.26,39.15375477005023,9.227249669109334
0.27,39.12065223067101,9.235696067176638
0.28,39.08751159211125,9.244119624370327
0.29,39.05433317710807,9.252520228794861
0.3,39.02111730873652,9.260897768882804
0.31,38.9878643104005,9.269252133398535
0.32,38.95457450582373,9.277583211441922
0.33,38.921248219040734,9.285890892452006
0.34,38.88788577438776,9.294175066210656
0.35,38.85448749649375,9.30243562284622
0.36,38.821053710271286,9.310672452837164
0.37,38.78758474090749,9.318885447015685
0.38,38.75408091385501,9.327074496571331
0.39,38.720542554822934,9.335239493054585
0.4,38.686969989767704,9.34338032838045
0.41,38.653363544884066,9.351496894832012
0.42,38.61972354659599,9.359589085063996
0.43,38.5860503215476,9.367656792106295
0.44,38.55234419659411,9.375699909367496
0.45,38.51860549879272,9.383718330638384
0.46,38.48483455539358,9.391711950095434
0.47,38.45103169383071,9.39968066230428
0.48,38.417197241712906,9.407624362223183
0.49,38.38333152681472,9.415542945206461
0.5,38.349434877067374,9.423436307007924
0.51,38.31550762054968,9.431304343784278
0.52,38.28155008547903,9.439146952098524
